iter	Passed	Remaining
245	4091	137588
246	4105	137487
247	4122	137458
248	4137	137394
249	4152	137346
250	4168	137283
251	4184	137245
252	4197	137139
253	4213	137076
254	4228	137009
255	4244	136995
256	4260	136939
257	4277	136938
258	4292	136874
259	4306	136788
260	4322	136731
261	4337	136685
262	4352	136606
263	4367	136546
264	4383	136501
265	4399	136473
266	4413	136376
267	4427	136307
268	4444	136303
269	4460	136270
270	4476	136234
271	4492	136183
272	4505	136086
273	4521	136035
274	4536	135990
275	4551	135925
276	4567	135901
277	4583	135862
278	4597	135773
279	4611	135662
280	4626	135612
281	4641	135561
282	4656	135513
283	4671	135442
284	4693	135593
285	4708	135531
286	4723	135476
287	4739	135442
288	4754	135390
289	4771	135364
290	4787	135337
291	4802	135287
292	4816	135218
293	4832	135177
294	4847	135121
295	4861	135034
296	4876	134970
297	4891	134914
298	4905	134855
299	4920	134793
300	4936	134762
301	4952	134737
302	4969	134723
303	4985	134700
304	5000	134653
305	5016	134632
306	5033	134631
307	5049	134606
308	5066	134603
309	5083	134587
310	5100	134594
311	5114	134507
312	5129	134452
313	5143	134392
314	5159	134349
315	5174	134317
316	5192	134329
317	5207	134279
318	5221	134211
319	5236	134159
320	5253	134145
321	5269	134125
322	5285	134089
323	5300	134052
324	5313	133959
325	5328	133909
326	5344	133876
327	5359	133822
328	5374	133782
329	5390	133753
330	5406	133715
331	5420	133650
332	5435	133602
333	5450	133565
334	5466	133530
335	5482	133498
336	5497	133457
337	5512	133407
338	5526	133330
339	5541	133282
340	5557	133268
341	5572	133210
342	5587	133170
343	5603	133143
344	5618	133093
345	5633	133056
346	5649	133028
347	5665	133006
348	5682	133000
349	5698	132984
350	5714	132960
351	5728	132893
352	5744	132879
353	5763	132912
354	5780	132909
355	5796	132894
356	5813	132885
357	5827	132834
358	5844	132818
359	5860	132815
360	5875	132760
361	5891	132734
362	5907	132704
363	5921	132647
364	5936	132609
365	5952	132584
366	5967	132538
367	5983	132506
368	5998	132480
369	6016	132499
370	6030	132425
371	6047	132417
372	6062	132389
373	6079	132393
374	6096	132375
375	6112	132354
376	6126	132290
377	6141	132252
378	6156	132214
379	6171	132165
380	6186	132131
381	6203	132125
382	6220	132129
383	6235	132085
384	6252	132072
385	6270	132107
386	6286	132085
387	6303	132071
388	6318	132028
389	6333	132000
390	6350	131999
391	6366	131965
392	6381	131923
393	6397	131918
394	6414	131913
395	6428	131857
396	6444	131825
397	6460	131806
398	6476	131787
399	6492	131763
400	6507	131727
401	6522	131684
402	6537	131649
403	6553	131623
404	6569	131601
405	6584	131560
406	6599	131522
407	6616	131527
408	6631	131484
409	6647	131454
410	6664	131459
411	6680	131445
412	6697	131437
413	6714	131430
414	6730	131409
415	6744	131364
416	6760	131333
417	6776	131307
418	6792	131295
419	6809	131289
420	6825	131280
421	6840	131229
422	6855	131201
423	6872	131199
424	6888	131182
425	6904	131143
426	6919	131121
427	6934	131082
428	6949	131037
429	6966	131026
430	6981	130988
431	6996	130960
432	7013	130959
433	7029	130944
434	7044	130903
435	7060	130884
436	7076	130850
437	7091	130817
438	7107	130805
439	7124	130807
440	7141	130789
441	7157	130787
442	7176	130809
443	7191	130772
444	7207	130759
445	7223	130736
446	7239	130713
447	7257	130736
448	7274	130736
449	7289	130699
450	7307	130707
451	7322	130677
452	7338	130647
453	7353	130608
454	7368	130570
455	7383	130531
456	7400	130536
457	7416	130517
458	7432	130498
459	7447	130467
460	7464	130454
461	7479	130428
462	7495	130403
463	7510	130370
464	7526	130342
465	7542	130320
466	7558	130300
467	7573	130270
468	7589	130244
469	7605	130232
470	7620	130195
471	7635	130156
472	7651	130141
473	7666	130111
474	7683	130097
475	7698	130061
476	7715	130058
477	7731	130040
478	7747	130018
479	7763	130012
480	7779	129988
481	7793	129932
482	7810	129927
483	7825	129904
484	7842	129888
485	7857	129860
486	7873	129843
487	7888	129807
488	7903	129777
489	7919	129744
