iter	RMSE
0	56.43400818
1	54.67509552
2	53.07359314
3	51.65743827
4	50.41765935
5	49.28971994
6	48.3325007
7	47.42410948
8	46.66762573
9	45.97546946
10	45.38967041
11	44.82403976
12	44.32992525
13	43.86303009
14	43.4464808
15	43.08883185
16	42.7835852
17	42.45680266
18	42.18253148
19	41.92267297
20	41.722131
21	41.49216957
22	41.28698761
23	41.09329241
24	40.92798536
25	40.76612524
26	40.5530316
27	40.41782935
28	40.31290343
29	40.19235712
30	40.07336795
31	39.91480559
32	39.81206912
33	39.67094039
34	39.58379412
35	39.48490378
36	39.37882227
37	39.29702972
38	39.20457198
39	39.11273339
40	39.05546011
41	38.94926502
42	38.87540056
43	38.79951418
44	38.75630792
45	38.70473897
46	38.6576066
47	38.60911424
48	38.5262604
49	38.4675101
50	38.41619118
51	38.365699
52	38.30027311
53	38.26496948
54	38.22521972
55	38.19182874
56	38.11886045
57	38.06718613
58	38.03675498
59	37.98625548
60	37.9460233
61	37.90721925
62	37.88757972
63	37.84754619
64	37.80535603
65	37.77175371
66	37.73232962
67	37.69795339
68	37.67124367
69	37.65472934
70	37.63918145
71	37.5972047
72	37.57388655
73	37.53233664
74	37.4887695
75	37.45954713
76	37.39367347
77	37.36261622
78	37.32564267
79	37.29385176
80	37.25363462
81	37.17843073
82	37.1284602
83	37.08511727
84	37.05153763
85	37.01952084
86	36.9751014
87	36.949136
88	36.92121992
89	36.87521969
90	36.8430583
91	36.83161079
92	36.80612909
93	36.77064351
94	36.75165157
95	36.73066428
96	36.70133929
97	36.65438529
98	36.61934122
99	36.6061758
100	36.57528823
101	36.56916747
102	36.56283742
103	36.53577284
104	36.51010652
105	36.47712375
106	36.44824848
107	36.43894024
108	36.42671319
109	36.42154691
110	36.41673711
111	36.37171287
112	36.35348719
113	36.34685131
114	36.3369221
115	36.31137785
116	36.29456464
117	36.27094209
118	36.26620606
119	36.23959913
120	36.23599598
121	36.21089435
122	36.18193554
123	36.16720765
124	36.1628084
125	36.13395355
126	36.10552157
127	36.09444003
128	36.06821117
129	36.05522566
130	36.05240712
131	36.03582991
132	36.00768689
133	35.98469937
134	35.97456707
135	35.95239454
136	35.91633614
137	35.89821116
138	35.87893857
139	35.85287966
140	35.83434405
141	35.79972464
142	35.77546715
143	35.74996833
144	35.72536507
145	35.69060384
146	35.67202379
147	35.63112688
148	35.60676537
149	35.57213511
150	35.49605808
151	35.49261797
152	35.46744905
153	35.44491324
154	35.41404108
155	35.40667857
156	35.38445852
157	35.36828863
158	35.36149204
159	35.34074534
160	35.32417098
161	35.31654318
162	35.30511284
163	35.28531521
164	35.25486307
165	35.23512438
166	35.20345483
167	35.16506872
168	35.15546494
169	35.12416875
170	35.0997025
171	35.09295533
172	35.07366873
173	35.06489942
174	35.05551122
175	35.03566195
176	35.02854809
177	35.00292229
178	34.99557266
179	34.97525978
180	34.96959656
181	34.95542347
182	34.9294034
183	34.8999012
184	34.89771638
185	34.86017884
186	34.83238236
187	34.80956232
188	34.78760734
189	34.77299406
190	34.76941234
191	34.74596594
192	34.72169755
193	34.71548541
194	34.6888015
195	34.6687581
196	34.62944584
197	34.60739538
198	34.58423171
199	34.58086699
200	34.57771759
201	34.55512529
202	34.53613715
203	34.50139636
204	34.49904713
205	34.48008339
206	34.46071813
207	34.44244591
208	34.42854763
209	34.39672509
210	34.36990524
211	34.34337581
212	34.34161604
213	34.31523192
214	34.2991578
215	34.27796529
216	34.26401596
217	34.23226904
218	34.21445779
219	34.18842474
220	34.15758119
221	34.14082826
222	34.12432342
223	34.10768645
224	34.08376377
225	34.06284666
226	34.03709646
227	34.0354239
228	34.03333771
229	34.01882211
230	33.98858513
231	33.95420745
232	33.93766746
233	33.90826535
234	33.89078486
235	33.86335169
236	33.84524461
237	33.83153251
238	33.80985003
239	33.78858676
240	33.76703215
241	33.76548064
242	33.74360726
243	33.72655642
244	33.72070676
245	33.70503793
246	33.68434685
247	33.6687284
248	33.64511185
249	33.63129435
250	33.60035081
251	33.58173139
252	33.57000844
253	33.56837512
254	33.55477493
255	33.54216329
256	33.53135267
257	33.50619688
258	33.49544497
259	33.46347957
260	33.44967962
261	33.42330917
262	33.40588208
263	33.39310283
264	33.38228663
265	33.38084797
266	33.3575763
267	33.34305535
268	33.33288023
269	33.32844839
270	33.31329619
271	33.29764786
272	33.28791658
273	33.26989028
274	33.25418591
275	33.24268584
276	33.22127672
277	33.16653656
278	33.14148623
279	33.14010647
280	33.13880599
281	33.12482119
282	33.11547508
283	33.10134901
284	33.08633598
285	33.07693909
286	33.06098333
287	33.05084559
288	33.03125593
289	33.02715267
290	33.01990201
291	33.01097962
292	32.97170205
293	32.96315569
294	32.95324005
295	32.91628818
296	32.90215177
297	32.89345698
298	32.87460764
299	32.84670922
300	32.83110367
301	32.81509801
302	32.7890805
303	32.77371422
304	32.76353079
305	32.75281635
306	32.73724158
307	32.73603014
308	32.7190953
309	32.70728794
310	32.70297217
311	32.6928946
312	32.69184209
313	32.68996606
314	32.67409589
315	32.64961424
316	32.64862203
317	32.63333183
318	32.62319566
319	32.61937514
320	32.60924586
321	32.5898636
322	32.57921886
323	32.56792061
324	32.54555123
325	32.54272107
326	32.54077264
327	32.53895185
328	32.51562928
329	32.49308246
330	32.49136152
331	32.48608152
332	32.47852392
333	32.45816733
334	32.44333522
335	32.42997455
336	32.414437
337	32.4107621
338	32.39271675
339	32.38280332
340	32.37242876
341	32.36017316
342	32.35071644
343	32.3407625
344	32.33513448
345	32.32231531
346	32.30399111
347	32.29827096
348	32.28390506
349	32.27162827
350	32.26358571
351	32.2515182
352	32.24344878
353	32.23680894
354	32.2181345
355	32.21031773
356	32.19083492
357	32.17025047
358	32.16153876
359	32.15901303
360	32.14357885
361	32.13391277
362	32.12410331
363	32.100672
364	32.08480665
365	32.08333796
366	32.07409004
367	32.05942251
368	32.04233733
369	32.0217341
370	32.02075673
371	32.01927454
372	32.01792366
373	32.00326969
374	31.99752393
375	31.99626317
376	31.99125944
377	31.98151992
378	31.97100874
379	31.96348195
380	31.95224942
381	31.94375139
382	31.93427173
383	31.91373748
384	31.90891073
385	31.90089513
386	31.87889415
387	31.86733598
388	31.85845188
389	31.85276886
390	31.84025528
391	31.82949236
392	31.81610378
393	31.80452405
394	31.80335457
395	31.79913056
396	31.79184843
397	31.78146338
398	31.76859089
399	31.75146105
400	31.73950371
401	31.73824873
402	31.73222526
403	31.72615666
404	31.71626872
405	31.70116476
406	31.69425224
407	31.68148828
408	31.68013474
409	31.67008998
410	31.66776281
411	31.66456781
412	31.65524305
